identifier,caseIdentifierURI,caseIdentifierUUID,name,description,jurisdiction,academicSubject,inLanguage,adoptionStatus,dateCreated,dateModified,notes,author,provider,license,attributionStatement
1a4b281e-333a-5860-99f6-fc4615bc56c4,https://satchelcommons.com/ims/case/v1p0/CFDocuments/d4e21c16-a629-40a9-9159-d737c934edfb,d4e21c16-a629-40a9-9159-d737c934edfb,Pennsylvania Academic Standards for History (2002),,Pennsylvania,Social Studies,en-US,Implemented,,2024-01-31,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
3ea5085a-ae87-5721-8d00-7d1433f071f2,https://satchelcommons.com/ims/case/v1p0/CFDocuments/ccd9c4c1-5979-4e28-9bb6-8fa4d834f9e0,ccd9c4c1-5979-4e28-9bb6-8fa4d834f9e0,Oklahoma Academic Standards for Science 2020,,Oklahoma,Science,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
cb8bc40f-ee99-5e2a-b9b8-24858c0a8ee7,https://satchelcommons.com/ims/case/v1p0/CFDocuments/20b120fb-2284-474d-ab2d-3d23ca6fb78b,20b120fb-2284-474d-ab2d-3d23ca6fb78b,"Pennsylvania Science, Technology & Engineering, and Environmental Literacy & Sustainability Standards (STEELS) (2023)",,Pennsylvania,Science,en-US,Implemented,,2024-02-22,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
83f1fbe8-7d77-5c3d-9a62-8105ee8b388f,https://satchelcommons.com/ims/case/v1p0/CFDocuments/89ab583d-bebf-42f3-8fa2-d7c99cb03974,89ab583d-bebf-42f3-8fa2-d7c99cb03974,Oregon Mathematics Standards (2021),,Oregon,Mathematics,en-US,Implemented,,2024-08-10,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
e415efd0-4d66-5110-a399-7fe0045c3e32,https://satchelcommons.com/ims/case/v1p0/CFDocuments/c63aa11e-d7cb-11e8-824f-0242ac160002,c63aa11e-d7cb-11e8-824f-0242ac160002,Minnesota Academic Standards in Mathematics,,Minnesota,Mathematics,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
43acc6d4-3c00-599e-a508-bb0695795b96,https://satchelcommons.com/ims/case/v1p0/CFDocuments/9d6c7c98-276f-4dfc-8f58-306cea5bf365,9d6c7c98-276f-4dfc-8f58-306cea5bf365,Minnesota Social Studies (2011),,Minnesota,Social Studies,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
19632c2a-909c-5fbe-b5ed-2d691180a12c,https://standards.wida.us/ims/case/v1p0/CFDocuments/d3641881-a190-44a9-afbe-d93fdc65f078,d3641881-a190-44a9-afbe-d93fdc65f078,Marco de los estándares del desarrollo auténtico del lenguaje español de WIDA (Marco DALE),"Esta es una herramienta para explorar el Marco de los estándares del desarrollo auténtico del lenguaje español de WIDA (Marco DALE). Explore las expectativas del lenguaje por declaración de estándares y grupo a nivel de grado o por uso clave del lenguaje y modo de comunicación. Explore los descriptores del nivel de desempeño lingüístico por grupo a nivel de grado y modo de comunicación.

This is a tool for exploring the Marco de los estándares del desarrollo auténtico del lenguaje español de WIDA (Marco DALE), WIDA's Spanish language development standards framework. Explore the Language Expectations by Standards Statement and grade-level cluster, or by Key Language Use and mode of communication. Explore the proficiency level descriptors by grade-level cluster and mode of communication.",Multi-State,English Language Arts,es-US,Implemented,,2024-12-06,"Cita sugerida:
WIDA. (2023). Marco de los estándares del desarrollo auténtico del lenguaje español de WIDA: Kínder al 12o grado. Junta de Regentes del Sistema de la Universidad de Wisconsin.",1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
c591119a-0406-50d0-b035-d1f95330dfe2,https://case.georgiastandards.org/ims/case/v1p1/CFDocuments/355bdb74-46f9-11e7-9dd8-56d474a21250,355bdb74-46f9-11e7-9dd8-56d474a21250,English Language Arts - Georgia Standards of Excellence,,Georgia,English Language Arts,en-US,Implemented,,2024-12-10,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
6804d508-c560-5ec3-a789-e74412de809e,https://case.nd.gov/uri/dad9ab80-cc25-11ea-9c1f-0242c0a84003,dad9ab80-cc25-11ea-9c1f-0242c0a84003,North Dakota Science Content Standards,,North Dakota,Science,en-US,Implemented,,2020-11-06,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
9aacd982-ed06-5915-9c2d-5f959f71b3bd,https://standards.azed.gov/ims/case/v1p0/CFDocuments/d1d59aa0-f509-4516-a836-74e2085cf0f0,d1d59aa0-f509-4516-a836-74e2085cf0f0,Arizona History and Social Science Standards (2018),,Arizona,Social Studies,en-US,Implemented,,2024-12-04,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
2ae02d47-c355-5797-b609-0807fa760868,https://satchelcommons.com/ims/case/v1p0/CFDocuments/80aece86-3396-4783-9a3c-0a489f48bf9b,80aece86-3396-4783-9a3c-0a489f48bf9b,2020 New Jersey Student Learning Standards: Science K-12,,New Jersey,Science,en-US,Implemented,,2023-11-19,,1EdTech,Chan Zuckerberg Initiative,https://creativecommons.org/licenses/by/4.0/,Knowledge Graph is provided by CZI-E under the CC BY-4.0 license. CZI-E received state standards and written permission under CC BY-4.0 from 1EdTech.
